Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,5.3834489373599785,5.121214389801025,5.086334705352783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.198124170303345,0.0,0.0,0.0
3,4.97866293963264,4.424308776855469,4.275735378265381,0.029411764705882353,0.3,0.16666666666666666,0.058823529411764705,0.058823529411764705,0.0034602076124567475,0.5,0.2333333333333333,0.12000000000000002,0.5,0.125,0.08333333333333333,10.269104957580566,0.0065359477124183,0.15714285714285717,0.1
4,4.299378577400656,3.4493820667266846,3.1659977436065674,0.2647058823529412,0.5,0.5,0.47058823529411764,0.11296296296296297,0.04411764705882353,1.0,0.5,0.3333333333333333,1.0,0.25,0.5,10.774001836776733,0.062354312354312345,0.3162393162393163,0.3333333333333333
5,3.145613067290362,2.2936501502990723,1.9603385925292969,0.5588235294117647,0.5,0.5,0.9705882352941176,0.6011904761904762,0.5588235294117647,1.0,0.25,0.5,1.0,0.25,0.5,14.458753108978271,0.5072463768115942,0.3333333333333333,0.3333333333333333
6,1.939477934556849,1.3748061656951904,1.2064158916473389,0.5588235294117647,0.5,0.5,1.0,0.765625,0.5588235294117647,1.0,0.25,0.5,1.0,0.25,0.5,11.295111894607544,0.4522019334049409,0.3333333333333333,0.3333333333333333
7,1.075864546439227,0.9655380249023438,0.8785532116889954,0.5,0.5,0.5,1.0,0.25,0.5,1.0,0.25,0.5,1.0,0.25,0.5,11.51787519454956,0.3333333333333333,0.3333333333333333,0.3333333333333333
8,0.7899262133766624,0.7226752042770386,0.6418959498405457,0.5882352941176471,0.5,0.8333333333333334,1.0,0.7741935483870968,0.5882352941176471,1.0,0.5,0.5,1.0,0.875,0.8333333333333333,9.76712441444397,0.5041666666666667,0.4505494505494506,0.8285714285714285
9,0.6330605359638438,0.6407128572463989,0.5799855589866638,0.6470588235294118,0.7,0.8333333333333334,1.0,0.6491228070175439,0.6470588235294118,1.0,0.7083333333333333,0.7,1.0,0.875,0.8333333333333333,12.12105941772461,0.6458333333333334,0.6969696969696968,0.8285714285714285
10,0.5956610300961662,0.6571326851844788,0.582379937171936,0.7058823529411765,0.5,0.6666666666666666,1.0,0.7351778656126482,0.7058823529411764,1.0,0.25,0.5,1.0,0.8,0.6666666666666666,11.4475839138031,0.6964285714285714,0.3333333333333333,0.625
11,0.5670781766667086,0.8763394355773926,0.8184950947761536,0.6470588235294118,0.5,0.5,1.0,0.6470588235294118,0.6470588235294118,1.0,0.25,0.5,1.0,0.25,0.5,10.473438739776611,0.6470588235294118,0.3333333333333333,0.3333333333333333
12,0.6023896897540373,0.8298782110214233,0.7514979243278503,0.5882352941176471,0.5,0.5,1.0,0.7741935483870968,0.5882352941176471,1.0,0.25,0.5,1.0,0.25,0.5,11.681642532348633,0.5041666666666667,0.3333333333333333,0.3333333333333333
13,0.6033295883851892,0.565299928188324,0.5133697390556335,0.7058823529411765,0.7,0.8333333333333334,1.0,0.7644444444444445,0.7058823529411764,1.0,0.7083333333333333,0.7,1.0,0.875,0.8333333333333333,10.514036178588867,0.6886446886446886,0.6969696969696968,0.8285714285714285
14,0.5881350952036241,0.6104637384414673,0.5835657119750977,0.6176470588235294,0.6,0.8333333333333334,1.0,0.7023809523809523,0.6176470588235294,1.0,0.7777777777777778,0.6,1.0,0.875,0.8333333333333333,10.560832977294922,0.5729468599033817,0.5238095238095238,0.8285714285714285
15,0.6079147598322701,0.7186137437820435,0.6318461894989014,0.6764705882352942,0.5,0.6666666666666666,1.0,0.8035714285714286,0.6764705882352942,1.0,0.25,0.5,1.0,0.8,0.6666666666666666,10.240284204483032,0.638647342995169,0.3333333333333333,0.625
16,0.4665420844274409,1.2662951946258545,1.270034909248352,0.7941176470588235,0.5,0.5,1.0,0.8541666666666667,0.7941176470588236,1.0,0.25,0.5,1.0,0.25,0.5,13.41019058227539,0.7850045167118338,0.3333333333333333,0.3333333333333333
