Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,5.186350485857795,4.764827251434326,4.840080261230469,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,34.79202580451965,0.0,0.0,0.0
3,4.879644758561078,4.123846530914307,4.040557384490967,0.029411764705882353,0.3,0.3333333333333333,0.08823529411764706,0.058823529411764705,0.0034602076124567475,0.7,0.19047619047619047,0.08571428571428573,1.0,0.3,0.13333333333333333,11.657885074615479,0.0065359477124183,0.11734693877551021,0.18
4,4.102663404801312,3.3846869468688965,3.1665449142456055,0.29411764705882354,0.5,0.6666666666666666,0.8235294117647058,0.1111111111111111,0.049019607843137254,0.9,0.5,0.5,1.0,0.8,0.6666666666666666,13.782003402709961,0.06264367816091954,0.4505494505494506,0.625
5,3.112244662116556,2.278707981109619,1.7034817934036255,0.5,0.4,0.6666666666666666,1.0,0.5,0.5,1.0,0.2222222222222222,0.4,1.0,0.8,0.6666666666666666,12.17317271232605,0.48894783377542006,0.2857142857142857,0.625
6,1.9150644470663631,1.1508383750915527,1.0641065835952759,0.5882352941176471,0.5,0.5,1.0,0.6349206349206349,0.5882352941176471,1.0,0.25,0.5,1.0,0.25,0.5,9.945878267288208,0.5492424242424243,0.3333333333333333,0.3333333333333333
7,1.1122140148106743,0.9922211766242981,0.7569469809532166,0.5294117647058824,0.5,0.5,1.0,0.7575757575757576,0.5294117647058824,1.0,0.25,0.5,1.0,0.25,0.5,11.987065076828003,0.39555555555555555,0.3333333333333333,0.3333333333333333
8,0.9910371496396906,1.1242916584014893,0.7965919971466064,0.5,0.5,0.5,1.0,0.25,0.5,1.0,0.25,0.5,1.0,0.25,0.5,10.933617115020752,0.3333333333333333,0.3333333333333333,0.3333333333333333
9,0.9769993915277368,0.8530565500259399,0.6303643584251404,0.5294117647058824,0.5,0.5,1.0,0.7575757575757576,0.5294117647058824,1.0,0.25,0.5,1.0,0.25,0.5,11.155903100967407,0.39555555555555555,0.3333333333333333,0.3333333333333333
10,0.7932933621546802,0.8549421429634094,0.5867250561714172,0.5294117647058824,0.3,0.6666666666666666,1.0,0.7575757575757576,0.5294117647058824,1.0,0.1875,0.3,1.0,0.8,0.6666666666666666,9.751640558242798,0.39555555555555555,0.23076923076923075,0.625
11,0.5731962980592952,1.4570996761322021,1.1726797819137573,0.5588235294117647,0.5,0.5,1.0,0.5607142857142857,0.5588235294117647,1.0,0.25,0.5,1.0,0.25,0.5,11.829040288925171,0.5553618134263296,0.3333333333333333,0.3333333333333333
12,0.9984287654652315,1.398324728012085,1.3219600915908813,0.5588235294117647,0.5,0.5,1.0,0.765625,0.5588235294117647,1.0,0.25,0.5,1.0,0.25,0.5,11.213210582733154,0.4522019334049409,0.3333333333333333,0.3333333333333333
13,0.9373160320169786,0.7871513962745667,0.675690233707428,0.5588235294117647,0.5,0.6666666666666666,1.0,0.765625,0.5588235294117647,1.0,0.25,0.5,1.0,0.8,0.6666666666666666,9.993844509124756,0.4522019334049409,0.3333333333333333,0.625
14,0.6752933368963354,0.7506627440452576,0.561933159828186,0.5882352941176471,0.6,0.6666666666666666,1.0,0.5882352941176471,0.5882352941176471,1.0,0.6190476190476191,0.6000000000000001,1.0,0.8,0.6666666666666666,12.05881667137146,0.5882352941176471,0.5833333333333333,0.625
15,0.6971581192577586,0.7421382665634155,0.5549972057342529,0.5882352941176471,0.6,0.6666666666666666,1.0,0.7741935483870968,0.5882352941176471,1.0,0.6190476190476191,0.6000000000000001,1.0,0.8,0.6666666666666666,12.49376106262207,0.5041666666666667,0.5833333333333333,0.625
16,0.7901292075129116,0.739800751209259,0.5198150277137756,0.5588235294117647,0.4,0.6666666666666666,1.0,0.6416666666666666,0.5588235294117647,1.0,0.38095238095238093,0.4,1.0,0.8,0.6666666666666666,10.704310178756714,0.48328267477203646,0.375,0.625
17,0.5732212802943062,0.9150711894035339,0.583236813545227,0.7941176470588235,0.5,0.6666666666666666,1.0,0.821969696969697,0.7941176470588236,1.0,0.25,0.5,1.0,0.8,0.6666666666666666,10.088991641998291,0.7895667550839964,0.3333333333333333,0.625
18,0.44194040053031025,0.9429251551628113,0.6438028216362,0.7647058823529411,0.5,0.6666666666666666,1.0,0.7684210526315789,0.7647058823529411,1.0,0.25,0.5,1.0,0.8,0.6666666666666666,12.327703714370728,0.763888888888889,0.3333333333333333,0.625
19,0.4606436491012573,0.9803504943847656,0.853476345539093,0.7941176470588235,0.5,0.6666666666666666,1.0,0.7951388888888888,0.7941176470588235,1.0,0.25,0.5,1.0,0.8,0.6666666666666666,10.966084241867065,0.793939393939394,0.3333333333333333,0.625
20,0.5932980574229184,1.074116826057434,0.8196809887886047,0.7352941176470589,0.5,0.6666666666666666,1.0,0.7428571428571429,0.7352941176470589,1.0,0.25,0.5,1.0,0.8,0.6666666666666666,10.37578535079956,0.7332170880557977,0.3333333333333333,0.625
21,0.41934386333998513,0.9651135206222534,0.6459687352180481,0.8235294117647058,0.5,0.6666666666666666,1.0,0.8424908424908425,0.8235294117647058,1.0,0.25,0.5,1.0,0.8,0.6666666666666666,11.778471946716309,0.8210526315789475,0.3333333333333333,0.625
22,0.39729103621314554,0.6890965104103088,0.500438392162323,0.8235294117647058,0.6,0.6666666666666666,1.0,0.8424908424908425,0.8235294117647058,1.0,0.6190476190476191,0.6000000000000001,1.0,0.8,0.6666666666666666,11.350905895233154,0.8210526315789475,0.5833333333333333,0.625
23,0.4148828843060662,0.6219517588615417,0.42359116673469543,0.7941176470588235,0.8,0.8333333333333334,1.0,0.8035714285714286,0.7941176470588236,1.0,0.8,0.8,1.0,0.875,0.8333333333333333,11.153314352035522,0.7925021795989537,0.8000000000000002,0.8285714285714285
24,0.40114659333930297,0.75589519739151,0.7193872928619385,0.8235294117647058,0.5,0.6666666666666666,1.0,0.8280701754385965,0.8235294117647058,1.0,0.5,0.5,1.0,0.8,0.6666666666666666,11.33151125907898,0.8229166666666666,0.4949494949494949,0.625
25,0.42113621094647574,0.9904780387878418,0.8762480616569519,0.8529411764705882,0.5,0.6666666666666666,1.0,0.8642857142857143,0.8529411764705882,1.0,0.25,0.5,1.0,0.8,0.6666666666666666,12.29838752746582,0.8517872711421098,0.3333333333333333,0.625
26,0.4651825708501479,0.8974761962890625,0.7769861221313477,0.7941176470588235,0.5,0.6666666666666666,1.0,0.821969696969697,0.7941176470588236,1.0,0.25,0.5,1.0,0.8,0.6666666666666666,11.466799020767212,0.7895667550839964,0.3333333333333333,0.625
