Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,5.158982501310461,5.00667142868042,4.992334842681885,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3333333333333333,0.0,0.0,33.07728624343872,0.0,0.0,0.0
3,4.9839975132661705,4.654022216796875,4.652886867523193,0.08823529411764706,0.3,0.3333333333333333,0.17647058823529413,0.06862745098039215,0.010380622837370242,0.8,0.125,0.19999999999999998,0.8333333333333334,0.16666666666666666,0.2222222222222222,32.43781661987305,0.017956656346749228,0.15384615384615385,0.19047619047619047
4,4.547342861399931,4.189059257507324,4.215803623199463,0.47058823529411764,0.4,0.3333333333333333,0.8529411764705882,0.15404040404040403,0.10457516339869281,1.0,0.2222222222222222,0.4,1.0,0.2,0.3333333333333333,32.87777376174927,0.12452107279693486,0.2857142857142857,0.25
5,3.909446211422191,3.5442309379577637,3.6643073558807373,0.5882352941176471,0.4,0.3333333333333333,1.0,0.5894736842105264,0.5882352941176471,1.0,0.2222222222222222,0.4,1.0,0.2,0.3333333333333333,32.87568998336792,0.5868055555555556,0.2857142857142857,0.25
6,3.210528822506175,2.8513858318328857,3.0458414554595947,0.5588235294117647,0.5,0.3333333333333333,1.0,0.5607142857142857,0.5588235294117647,1.0,0.25,0.5,1.0,0.2,0.3333333333333333,32.69693398475647,0.5553618134263296,0.3333333333333333,0.25
7,2.356895755319034,2.1182284355163574,2.3186569213867188,0.7647058823529411,0.5,0.5,1.0,0.7684210526315789,0.7647058823529411,1.0,0.25,0.5,1.0,0.25,0.5,32.55812120437622,0.7638888888888888,0.3333333333333333,0.3333333333333333
8,1.6955279181985294,1.5494787693023682,1.721710205078125,0.7352941176470589,0.5,0.5,1.0,0.7575757575757576,0.7352941176470589,1.0,0.25,0.5,1.0,0.25,0.5,32.73684000968933,0.7294429708222812,0.3333333333333333,0.3333333333333333
9,1.1068688841427075,1.200826644897461,1.3104580640792847,0.8235294117647058,0.5,0.5,1.0,0.8695652173913043,0.8235294117647058,1.0,0.25,0.5,1.0,0.25,0.5,32.81312823295593,0.8178571428571428,0.3333333333333333,0.3333333333333333
10,0.8124010843389174,0.9771754145622253,1.0175989866256714,0.7941176470588235,0.5,0.5,1.0,0.821969696969697,0.7941176470588236,1.0,0.25,0.5,1.0,0.25,0.5,32.86098909378052,0.7895667550839964,0.3333333333333333,0.3333333333333333
11,0.5953581473406624,0.866158664226532,0.8500195145606995,0.9117647058823529,0.8,0.6666666666666666,1.0,0.925,0.9117647058823529,1.0,0.8571428571428572,0.8,1.0,0.6666666666666666,0.6666666666666666,33.65915083885193,0.9110723626852659,0.7916666666666667,0.6666666666666666
