Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,5.663519242230584,5.557467460632324,5.443832874298096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.46496295928955,0.0,0.0,0.0
3,5.579192161560059,5.473277568817139,5.368227481842041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.117609024047852,0.0,0.0,0.0
4,5.4388421283048745,5.333100318908691,5.229822158813477,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.788592338562012,0.0,0.0,0.0
5,5.229251160341151,5.147404193878174,5.066044330596924,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,13.979239225387573,0.0,0.0,0.0
6,4.982519654666676,4.877007007598877,4.845911502838135,0.17647058823529413,0.1,0.16666666666666666,0.3235294117647059,0.06,0.03529411764705882,0.2,0.08333333333333333,0.03333333333333333,0.3333333333333333,0.2,0.06666666666666667,13.51682186126709,0.044444444444444446,0.04761904761904762,0.1
7,4.696276664733887,4.564960479736328,4.59019660949707,0.2647058823529412,0.3,0.3333333333333333,0.4117647058823529,0.05555555555555555,0.058823529411764705,0.6,0.09999999999999999,0.09999999999999999,0.8333333333333334,0.13333333333333333,0.13333333333333333,13.871093511581421,0.05714285714285715,0.09999999999999999,0.13333333333333333
8,4.369687220629523,4.227380275726318,4.289662837982178,0.4411764705882353,0.5,0.5,0.7352941176470589,0.12096774193548387,0.22058823529411764,1.0,0.5,0.5,0.8333333333333334,0.25,0.5,13.277908325195312,0.15625,0.4505494505494506,0.3333333333333333
9,4.046244593227611,3.8532938957214355,3.939793348312378,0.5,0.5,0.5,0.9705882352941176,0.5,0.5,1.0,0.5,0.5,1.0,0.25,0.5,13.766663789749146,0.37916219119226635,0.4505494505494506,0.3333333333333333
10,3.6853836564456715,3.446603298187256,3.547849655151367,0.5294117647058824,0.5,0.5,1.0,0.5913978494623655,0.5294117647058824,1.0,0.5,0.5,1.0,0.25,0.5,12.042555570602417,0.43333333333333335,0.4505494505494506,0.3333333333333333
11,3.3302966005661907,3.05600905418396,3.2253007888793945,0.5882352941176471,0.5,0.5,1.0,0.6758620689655173,0.5882352941176471,1.0,0.5,0.5,1.0,0.25,0.5,14.357558250427246,0.5296442687747035,0.4505494505494506,0.3333333333333333
