Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,4.535117850584142,3.407949447631836,3.1680240631103516,0.14705882352941177,0.6,0.8333333333333334,0.29411764705882354,0.07936507936507936,0.014005602240896359,1.0,0.6,0.6,1.0,0.875,0.8333333333333333,39.45896315574646,0.023809523809523808,0.6,0.8285714285714285
3,3.1013946603326237,0.7239506840705872,0.6125905513763428,0.5,0.5,0.8333333333333334,1.0,0.3421052631578947,0.3333333333333333,1.0,0.5,0.5,1.0,0.875,0.8333333333333333,13.924147844314575,0.3357228195937873,0.4949494949494949,0.8285714285714285
4,0.8911274566369898,9.9242582321167,11.60918140411377,0.5294117647058824,0.5,0.5,1.0,0.5298245614035088,0.5294117647058824,1.0,0.25,0.5,1.0,0.25,0.5,11.982541799545288,0.5277777777777777,0.3333333333333333,0.3333333333333333
5,10.522316680235022,1.8742173910140991,2.041724443435669,0.47058823529411764,0.6,0.5,1.0,0.24242424242424243,0.47058823529411764,1.0,0.7777777777777778,0.6,1.0,0.25,0.5,11.309582233428955,0.32,0.5238095238095238,0.3333333333333333
6,1.8223564905278824,0.8233257532119751,1.1494194269180298,0.35294117647058826,0.5,0.5,1.0,0.3111111111111111,0.35294117647058826,1.0,0.25,0.5,1.0,0.25,0.5,10.704876899719238,0.315018315018315,0.3333333333333333,0.3333333333333333
7,0.7962558970731848,1.1458699703216553,1.0558220148086548,0.5588235294117647,0.5,0.5,1.0,0.5708333333333333,0.5588235294117647,1.0,0.5,0.5,1.0,0.25,0.5,12.460172653198242,0.5392953929539296,0.4505494505494506,0.3333333333333333
8,1.3739783062654383,1.845720887184143,2.0041589736938477,0.47058823529411764,0.5,0.5,1.0,0.455026455026455,0.47058823529411764,1.0,0.25,0.5,1.0,0.25,0.5,11.630217552185059,0.42045454545454547,0.3333333333333333,0.3333333333333333
9,1.720131886356017,0.9015329480171204,1.102190375328064,0.5882352941176471,0.4,0.5,1.0,0.6758620689655173,0.5882352941176471,1.0,0.38095238095238093,0.4,1.0,0.25,0.5,11.659637689590454,0.5296442687747035,0.375,0.3333333333333333
10,2.31236110014074,3.7345283031463623,3.5265562534332275,0.5882352941176471,0.5,0.5,1.0,0.5882352941176471,0.5882352941176471,0.5,0.25,0.5,0.5,0.25,0.5,10.814928531646729,0.5882352941176471,0.3333333333333333,0.3333333333333333
11,4.536797411301556,3.221330165863037,2.9374682903289795,0.5,0.5,0.5,0.5882352941176471,0.25,0.5,0.8,0.25,0.5,0.8333333333333334,0.25,0.5,12.5496346950531,0.3333333333333333,0.3333333333333333,0.3333333333333333
